iso_8601,yyyy,yy,mmmm,mmm,mm,dd,ddd,dddd,q
2016-01-01,2016,16,January,Jan,01,01,Fri,Friday,1
2016-01-02,2016,16,January,Jan,01,02,Sat,Saturday,1
2016-01-03,2016,16,January,Jan,01,03,Sun,Sunday,1
2016-01-04,2016,16,January,Jan,01,04,Mon,Monday,1
2016-01-05,2016,16,January,Jan,01,05,Tue,Tuesday,1
2016-01-06,2016,16,January,Jan,01,06,Wed,Wednesday,1
2016-01-07,2016,16,January,Jan,01,07,Thu,Thursday,1
2016-01-08,2016,16,January,Jan,01,08,Fri,Friday,1
2016-01-09,2016,16,January,Jan,01,09,Sat,Saturday,1
2016-01-10,2016,16,January,Jan,01,10,Sun,Sunday,1
2016-01-11,2016,16,January,Jan,01,11,Mon,Monday,1
2016-01-12,2016,16,January,Jan,01,12,Tue,Tuesday,1
2016-01-13,2016,16,January,Jan,01,13,Wed,Wednesday,1
2016-01-14,2016,16,January,Jan,01,14,Thu,Thursday,1
2016-01-15,2016,16,January,Jan,01,15,Fri,Friday,1
2016-01-16,2016,16,January,Jan,01,16,Sat,Saturday,1
2016-01-17,2016,16,January,Jan,01,17,Sun,Sunday,1
2016-01-18,2016,16,January,Jan,01,18,Mon,Monday,1
2016-01-19,2016,16,January,Jan,01,19,Tue,Tuesday,1
2016-01-20,2016,16,January,Jan,01,20,Wed,Wednesday,1
2016-01-21,2016,16,January,Jan,01,21,Thu,Thursday,1
2016-01-22,2016,16,January,Jan,01,22,Fri,Friday,1
2016-01-23,2016,16,January,Jan,01,23,Sat,Saturday,1
2016-01-24,2016,16,January,Jan,01,24,Sun,Sunday,1
2016-01-25,2016,16,January,Jan,01,25,Mon,Monday,1
2016-01-26,2016,16,January,Jan,01,26,Tue,Tuesday,1
2016-01-27,2016,16,January,Jan,01,27,Wed,Wednesday,1
2016-01-28,2016,16,January,Jan,01,28,Thu,Thursday,1
2016-01-29,2016,16,January,Jan,01,29,Fri,Friday,1
2016-01-30,2016,16,January,Jan,01,30,Sat,Saturday,1
2016-01-31,2016,16,January,Jan,01,31,Sun,Sunday,1
2016-02-01,2016,16,February,Feb,02,01,Mon,Monday,1
2016-02-02,2016,16,February,Feb,02,02,Tue,Tuesday,1
2016-02-03,2016,16,February,Feb,02,03,Wed,Wednesday,1
2016-02-04,2016,16,February,Feb,02,04,Thu,Thursday,1
2016-02-05,2016,16,February,Feb,02,05,Fri,Friday,1
2016-02-06,2016,16,February,Feb,02,06,Sat,Saturday,1
2016-02-07,2016,16,February,Feb,02,07,Sun,Sunday,1
2016-02-08,2016,16,February,Feb,02,08,Mon,Monday,1
2016-02-09,2016,16,February,Feb,02,09,Tue,Tuesday,1
2016-02-10,2016,16,February,Feb,02,10,Wed,Wednesday,1
2016-02-11,2016,16,February,Feb,02,11,Thu,Thursday,1
2016-02-12,2016,16,February,Feb,02,12,Fri,Friday,1
2016-02-13,2016,16,February,Feb,02,13,Sat,Saturday,1
2016-02-14,2016,16,February,Feb,02,14,Sun,Sunday,1
2016-02-15,2016,16,February,Feb,02,15,Mon,Monday,1
2016-02-16,2016,16,February,Feb,02,16,Tue,Tuesday,1
2016-02-17,2016,16,February,Feb,02,17,Wed,Wednesday,1
2016-02-18,2016,16,February,Feb,02,18,Thu,Thursday,1
2016-02-19,2016,16,February,Feb,02,19,Fri,Friday,1
2016-02-20,2016,16,February,Feb,02,20,Sat,Saturday,1
2016-02-21,2016,16,February,Feb,02,21,Sun,Sunday,1
2016-02-22,2016,16,February,Feb,02,22,Mon,Monday,1
2016-02-23,2016,16,February,Feb,02,23,Tue,Tuesday,1
2016-02-24,2016,16,February,Feb,02,24,Wed,Wednesday,1
2016-02-25,2016,16,February,Feb,02,25,Thu,Thursday,1
2016-02-26,2016,16,February,Feb,02,26,Fri,Friday,1
2016-02-27,2016,16,February,Feb,02,27,Sat,Saturday,1
2016-02-28,2016,16,February,Feb,02,28,Sun,Sunday,1
2016-02-29,2016,16,February,Feb,02,29,Mon,Monday,1
2016-03-01,2016,16,March,Mar,03,01,Tue,Tuesday,1
2016-03-02,2016,16,March,Mar,03,02,Wed,Wednesday,1
2016-03-03,2016,16,March,Mar,03,03,Thu,Thursday,1
2016-03-04,2016,16,March,Mar,03,04,Fri,Friday,1
2016-03-05,2016,16,March,Mar,03,05,Sat,Saturday,1
2016-03-06,2016,16,March,Mar,03,06,Sun,Sunday,1
2016-03-07,2016,16,March,Mar,03,07,Mon,Monday,1
2016-03-08,2016,16,March,Mar,03,08,Tue,Tuesday,1
2016-03-09,2016,16,March,Mar,03,09,Wed,Wednesday,1
2016-03-10,2016,16,March,Mar,03,10,Thu,Thursday,1
2016-03-11,2016,16,March,Mar,03,11,Fri,Friday,1
2016-03-12,2016,16,March,Mar,03,12,Sat,Saturday,1
2016-03-13,2016,16,March,Mar,03,13,Sun,Sunday,1
2016-03-14,2016,16,March,Mar,03,14,Mon,Monday,1
2016-03-15,2016,16,March,Mar,03,15,Tue,Tuesday,1
2016-03-16,2016,16,March,Mar,03,16,Wed,Wednesday,1
2016-03-17,2016,16,March,Mar,03,17,Thu,Thursday,1
2016-03-18,2016,16,March,Mar,03,18,Fri,Friday,1
2016-03-19,2016,16,March,Mar,03,19,Sat,Saturday,1
2016-03-20,2016,16,March,Mar,03,20,Sun,Sunday,1
2016-03-21,2016,16,March,Mar,03,21,Mon,Monday,1
2016-03-22,2016,16,March,Mar,03,22,Tue,Tuesday,1
2016-03-23,2016,16,March,Mar,03,23,Wed,Wednesday,1
2016-03-24,2016,16,March,Mar,03,24,Thu,Thursday,1
2016-03-25,2016,16,March,Mar,03,25,Fri,Friday,1
2016-03-26,2016,16,March,Mar,03,26,Sat,Saturday,1
2016-03-27,2016,16,March,Mar,03,27,Sun,Sunday,1
2016-03-28,2016,16,March,Mar,03,28,Mon,Monday,1
2016-03-29,2016,16,March,Mar,03,29,Tue,Tuesday,1
2016-03-30,2016,16,March,Mar,03,30,Wed,Wednesday,1
2016-03-31,2016,16,March,Mar,03,31,Thu,Thursday,1
2016-04-01,2016,16,April,Apr,04,01,Fri,Friday,2
2016-04-02,2016,16,April,Apr,04,02,Sat,Saturday,2
2016-04-03,2016,16,April,Apr,04,03,Sun,Sunday,2
2016-04-04,2016,16,April,Apr,04,04,Mon,Monday,2
2016-04-05,2016,16,April,Apr,04,05,Tue,Tuesday,2
2016-04-06,2016,16,April,Apr,04,06,Wed,Wednesday,2
2016-04-07,2016,16,April,Apr,04,07,Thu,Thursday,2
2016-04-08,2016,16,April,Apr,04,08,Fri,Friday,2
2016-04-09,2016,16,April,Apr,04,09,Sat,Saturday,2
2016-04-10,2016,16,April,Apr,04,10,Sun,Sunday,2
2016-04-11,2016,16,April,Apr,04,11,Mon,Monday,2
2016-04-12,2016,16,April,Apr,04,12,Tue,Tuesday,2
2016-04-13,2016,16,April,Apr,04,13,Wed,Wednesday,2
2016-04-14,2016,16,April,Apr,04,14,Thu,Thursday,2
2016-04-15,2016,16,April,Apr,04,15,Fri,Friday,2
2016-04-16,2016,16,April,Apr,04,16,Sat,Saturday,2
2016-04-17,2016,16,April,Apr,04,17,Sun,Sunday,2
2016-04-18,2016,16,April,Apr,04,18,Mon,Monday,2
2016-04-19,2016,16,April,Apr,04,19,Tue,Tuesday,2
2016-04-20,2016,16,April,Apr,04,20,Wed,Wednesday,2
2016-04-21,2016,16,April,Apr,04,21,Thu,Thursday,2
2016-04-22,2016,16,April,Apr,04,22,Fri,Friday,2
2016-04-23,2016,16,April,Apr,04,23,Sat,Saturday,2
2016-04-24,2016,16,April,Apr,04,24,Sun,Sunday,2
2016-04-25,2016,16,April,Apr,04,25,Mon,Monday,2
2016-04-26,2016,16,April,Apr,04,26,Tue,Tuesday,2
2016-04-27,2016,16,April,Apr,04,27,Wed,Wednesday,2
2016-04-28,2016,16,April,Apr,04,28,Thu,Thursday,2
2016-04-29,2016,16,April,Apr,04,29,Fri,Friday,2
2016-04-30,2016,16,April,Apr,04,30,Sat,Saturday,2
2016-05-01,2016,16,May,May,05,01,Sun,Sunday,2
2016-05-02,2016,16,May,May,05,02,Mon,Monday,2
2016-05-03,2016,16,May,May,05,03,Tue,Tuesday,2
2016-05-04,2016,16,May,May,05,04,Wed,Wednesday,2
2016-05-05,2016,16,May,May,05,05,Thu,Thursday,2
2016-05-06,2016,16,May,May,05,06,Fri,Friday,2
2016-05-07,2016,16,May,May,05,07,Sat,Saturday,2
2016-05-08,2016,16,May,May,05,08,Sun,Sunday,2
2016-05-09,2016,16,May,May,05,09,Mon,Monday,2
2016-05-10,2016,16,May,May,05,10,Tue,Tuesday,2
2016-05-11,2016,16,May,May,05,11,Wed,Wednesday,2
2016-05-12,2016,16,May,May,05,12,Thu,Thursday,2
2016-05-13,2016,16,May,May,05,13,Fri,Friday,2
2016-05-14,2016,16,May,May,05,14,Sat,Saturday,2
2016-05-15,2016,16,May,May,05,15,Sun,Sunday,2
2016-05-16,2016,16,May,May,05,16,Mon,Monday,2
2016-05-17,2016,16,May,May,05,17,Tue,Tuesday,2
2016-05-18,2016,16,May,May,05,18,Wed,Wednesday,2
2016-05-19,2016,16,May,May,05,19,Thu,Thursday,2
2016-05-20,2016,16,May,May,05,20,Fri,Friday,2
2016-05-21,2016,16,May,May,05,21,Sat,Saturday,2
2016-05-22,2016,16,May,May,05,22,Sun,Sunday,2
2016-05-23,2016,16,May,May,05,23,Mon,Monday,2
2016-05-24,2016,16,May,May,05,24,Tue,Tuesday,2
2016-05-25,2016,16,May,May,05,25,Wed,Wednesday,2
2016-05-26,2016,16,May,May,05,26,Thu,Thursday,2
2016-05-27,2016,16,May,May,05,27,Fri,Friday,2
2016-05-28,2016,16,May,May,05,28,Sat,Saturday,2
2016-05-29,2016,16,May,May,05,29,Sun,Sunday,2
2016-05-30,2016,16,May,May,05,30,Mon,Monday,2
2016-05-31,2016,16,May,May,05,31,Tue,Tuesday,2
2016-06-01,2016,16,June,Jun,06,01,Wed,Wednesday,2
2016-06-02,2016,16,June,Jun,06,02,Thu,Thursday,2
2016-06-03,2016,16,June,Jun,06,03,Fri,Friday,2
2016-06-04,2016,16,June,Jun,06,04,Sat,Saturday,2
2016-06-05,2016,16,June,Jun,06,05,Sun,Sunday,2
2016-06-06,2016,16,June,Jun,06,06,Mon,Monday,2
2016-06-07,2016,16,June,Jun,06,07,Tue,Tuesday,2
2016-06-08,2016,16,June,Jun,06,08,Wed,Wednesday,2
2016-06-09,2016,16,June,Jun,06,09,Thu,Thursday,2
2016-06-10,2016,16,June,Jun,06,10,Fri,Friday,2
2016-06-11,2016,16,June,Jun,06,11,Sat,Saturday,2
2016-06-12,2016,16,June,Jun,06,12,Sun,Sunday,2
2016-06-13,2016,16,June,Jun,06,13,Mon,Monday,2
2016-06-14,2016,16,June,Jun,06,14,Tue,Tuesday,2
2016-06-15,2016,16,June,Jun,06,15,Wed,Wednesday,2
2016-06-16,2016,16,June,Jun,06,16,Thu,Thursday,2
2016-06-17,2016,16,June,Jun,06,17,Fri,Friday,2
2016-06-18,2016,16,June,Jun,06,18,Sat,Saturday,2
2016-06-19,2016,16,June,Jun,06,19,Sun,Sunday,2
2016-06-20,2016,16,June,Jun,06,20,Mon,Monday,2
2016-06-21,2016,16,June,Jun,06,21,Tue,Tuesday,2
2016-06-22,2016,16,June,Jun,06,22,Wed,Wednesday,2
2016-06-23,2016,16,June,Jun,06,23,Thu,Thursday,2
2016-06-24,2016,16,June,Jun,06,24,Fri,Friday,2
2016-06-25,2016,16,June,Jun,06,25,Sat,Saturday,2
2016-06-26,2016,16,June,Jun,06,26,Sun,Sunday,2
2016-06-27,2016,16,June,Jun,06,27,Mon,Monday,2
2016-06-28,2016,16,June,Jun,06,28,Tue,Tuesday,2
2016-06-29,2016,16,June,Jun,06,29,Wed,Wednesday,2
2016-06-30,2016,16,June,Jun,06,30,Thu,Thursday,2
2016-07-01,2016,16,July,Jul,07,01,Fri,Friday,3
2016-07-02,2016,16,July,Jul,07,02,Sat,Saturday,3
2016-07-03,2016,16,July,Jul,07,03,Sun,Sunday,3
2016-07-04,2016,16,July,Jul,07,04,Mon,Monday,3
2016-07-05,2016,16,July,Jul,07,05,Tue,Tuesday,3
2016-07-06,2016,16,July,Jul,07,06,Wed,Wednesday,3
2016-07-07,2016,16,July,Jul,07,07,Thu,Thursday,3
2016-07-08,2016,16,July,Jul,07,08,Fri,Friday,3
2016-07-09,2016,16,July,Jul,07,09,Sat,Saturday,3
2016-07-10,2016,16,July,Jul,07,10,Sun,Sunday,3
2016-07-11,2016,16,July,Jul,07,11,Mon,Monday,3
2016-07-12,2016,16,July,Jul,07,12,Tue,Tuesday,3
2016-07-13,2016,16,July,Jul,07,13,Wed,Wednesday,3
2016-07-14,2016,16,July,Jul,07,14,Thu,Thursday,3
2016-07-15,2016,16,July,Jul,07,15,Fri,Friday,3
2016-07-16,2016,16,July,Jul,07,16,Sat,Saturday,3
2016-07-17,2016,16,July,Jul,07,17,Sun,Sunday,3
2016-07-18,2016,16,July,Jul,07,18,Mon,Monday,3
2016-07-19,2016,16,July,Jul,07,19,Tue,Tuesday,3
2016-07-20,2016,16,July,Jul,07,20,Wed,Wednesday,3
2016-07-21,2016,16,July,Jul,07,21,Thu,Thursday,3
2016-07-22,2016,16,July,Jul,07,22,Fri,Friday,3
2016-07-23,2016,16,July,Jul,07,23,Sat,Saturday,3
2016-07-24,2016,16,July,Jul,07,24,Sun,Sunday,3
2016-07-25,2016,16,July,Jul,07,25,Mon,Monday,3
2016-07-26,2016,16,July,Jul,07,26,Tue,Tuesday,3
2016-07-27,2016,16,July,Jul,07,27,Wed,Wednesday,3
2016-07-28,2016,16,July,Jul,07,28,Thu,Thursday,3
2016-07-29,2016,16,July,Jul,07,29,Fri,Friday,3
2016-07-30,2016,16,July,Jul,07,30,Sat,Saturday,3
2016-07-31,2016,16,July,Jul,07,31,Sun,Sunday,3
2016-08-01,2016,16,August,Aug,08,01,Mon,Monday,3
2016-08-02,2016,16,August,Aug,08,02,Tue,Tuesday,3
2016-08-03,2016,16,August,Aug,08,03,Wed,Wednesday,3
2016-08-04,2016,16,August,Aug,08,04,Thu,Thursday,3
2016-08-05,2016,16,August,Aug,08,05,Fri,Friday,3
2016-08-06,2016,16,August,Aug,08,06,Sat,Saturday,3
2016-08-07,2016,16,August,Aug,08,07,Sun,Sunday,3
2016-08-08,2016,16,August,Aug,08,08,Mon,Monday,3
2016-08-09,2016,16,August,Aug,08,09,Tue,Tuesday,3
2016-08-10,2016,16,August,Aug,08,10,Wed,Wednesday,3
2016-08-11,2016,16,August,Aug,08,11,Thu,Thursday,3
2016-08-12,2016,16,August,Aug,08,12,Fri,Friday,3
2016-08-13,2016,16,August,Aug,08,13,Sat,Saturday,3
2016-08-14,2016,16,August,Aug,08,14,Sun,Sunday,3
2016-08-15,2016,16,August,Aug,08,15,Mon,Monday,3
2016-08-16,2016,16,August,Aug,08,16,Tue,Tuesday,3
2016-08-17,2016,16,August,Aug,08,17,Wed,Wednesday,3
2016-08-18,2016,16,August,Aug,08,18,Thu,Thursday,3
2016-08-19,2016,16,August,Aug,08,19,Fri,Friday,3
2016-08-20,2016,16,August,Aug,08,20,Sat,Saturday,3
2016-08-21,2016,16,August,Aug,08,21,Sun,Sunday,3
2016-08-22,2016,16,August,Aug,08,22,Mon,Monday,3
2016-08-23,2016,16,August,Aug,08,23,Tue,Tuesday,3
2016-08-24,2016,16,August,Aug,08,24,Wed,Wednesday,3
2016-08-25,2016,16,August,Aug,08,25,Thu,Thursday,3
2016-08-26,2016,16,August,Aug,08,26,Fri,Friday,3
2016-08-27,2016,16,August,Aug,08,27,Sat,Saturday,3
2016-08-28,2016,16,August,Aug,08,28,Sun,Sunday,3
2016-08-29,2016,16,August,Aug,08,29,Mon,Monday,3
2016-08-30,2016,16,August,Aug,08,30,Tue,Tuesday,3
2016-08-31,2016,16,August,Aug,08,31,Wed,Wednesday,3
2016-09-01,2016,16,September,Sep,09,01,Thu,Thursday,3
2016-09-02,2016,16,September,Sep,09,02,Fri,Friday,3
2016-09-03,2016,16,September,Sep,09,03,Sat,Saturday,3
2016-09-04,2016,16,September,Sep,09,04,Sun,Sunday,3
2016-09-05,2016,16,September,Sep,09,05,Mon,Monday,3
2016-09-06,2016,16,September,Sep,09,06,Tue,Tuesday,3
2016-09-07,2016,16,September,Sep,09,07,Wed,Wednesday,3
2016-09-08,2016,16,September,Sep,09,08,Thu,Thursday,3
2016-09-09,2016,16,September,Sep,09,09,Fri,Friday,3
2016-09-10,2016,16,September,Sep,09,10,Sat,Saturday,3
2016-09-11,2016,16,September,Sep,09,11,Sun,Sunday,3
2016-09-12,2016,16,September,Sep,09,12,Mon,Monday,3
2016-09-13,2016,16,September,Sep,09,13,Tue,Tuesday,3
2016-09-14,2016,16,September,Sep,09,14,Wed,Wednesday,3
2016-09-15,2016,16,September,Sep,09,15,Thu,Thursday,3
2016-09-16,2016,16,September,Sep,09,16,Fri,Friday,3
2016-09-17,2016,16,September,Sep,09,17,Sat,Saturday,3
2016-09-18,2016,16,September,Sep,09,18,Sun,Sunday,3
2016-09-19,2016,16,September,Sep,09,19,Mon,Monday,3
2016-09-20,2016,16,September,Sep,09,20,Tue,Tuesday,3
2016-09-21,2016,16,September,Sep,09,21,Wed,Wednesday,3
2016-09-22,2016,16,September,Sep,09,22,Thu,Thursday,3
2016-09-23,2016,16,September,Sep,09,23,Fri,Friday,3
2016-09-24,2016,16,September,Sep,09,24,Sat,Saturday,3
2016-09-25,2016,16,September,Sep,09,25,Sun,Sunday,3
2016-09-26,2016,16,September,Sep,09,26,Mon,Monday,3
2016-09-27,2016,16,September,Sep,09,27,Tue,Tuesday,3
2016-09-28,2016,16,September,Sep,09,28,Wed,Wednesday,3
2016-09-29,2016,16,September,Sep,09,29,Thu,Thursday,3
2016-09-30,2016,16,September,Sep,09,30,Fri,Friday,3
2016-10-01,2016,16,October,Oct,10,01,Sat,Saturday,4
2016-10-02,2016,16,October,Oct,10,02,Sun,Sunday,4
2016-10-03,2016,16,October,Oct,10,03,Mon,Monday,4
2016-10-04,2016,16,October,Oct,10,04,Tue,Tuesday,4
2016-10-05,2016,16,October,Oct,10,05,Wed,Wednesday,4
2016-10-06,2016,16,October,Oct,10,06,Thu,Thursday,4
2016-10-07,2016,16,October,Oct,10,07,Fri,Friday,4
2016-10-08,2016,16,October,Oct,10,08,Sat,Saturday,4
2016-10-09,2016,16,October,Oct,10,09,Sun,Sunday,4
2016-10-10,2016,16,October,Oct,10,10,Mon,Monday,4
2016-10-11,2016,16,October,Oct,10,11,Tue,Tuesday,4
2016-10-12,2016,16,October,Oct,10,12,Wed,Wednesday,4
2016-10-13,2016,16,October,Oct,10,13,Thu,Thursday,4
2016-10-14,2016,16,October,Oct,10,14,Fri,Friday,4
2016-10-15,2016,16,October,Oct,10,15,Sat,Saturday,4
2016-10-16,2016,16,October,Oct,10,16,Sun,Sunday,4
2016-10-17,2016,16,October,Oct,10,17,Mon,Monday,4
2016-10-18,2016,16,October,Oct,10,18,Tue,Tuesday,4
2016-10-19,2016,16,October,Oct,10,19,Wed,Wednesday,4
2016-10-20,2016,16,October,Oct,10,20,Thu,Thursday,4
2016-10-21,2016,16,October,Oct,10,21,Fri,Friday,4
2016-10-22,2016,16,October,Oct,10,22,Sat,Saturday,4
2016-10-23,2016,16,October,Oct,10,23,Sun,Sunday,4
2016-10-24,2016,16,October,Oct,10,24,Mon,Monday,4
2016-10-25,2016,16,October,Oct,10,25,Tue,Tuesday,4
2016-10-26,2016,16,October,Oct,10,26,Wed,Wednesday,4
2016-10-27,2016,16,October,Oct,10,27,Thu,Thursday,4
2016-10-28,2016,16,October,Oct,10,28,Fri,Friday,4
2016-10-29,2016,16,October,Oct,10,29,Sat,Saturday,4
2016-10-30,2016,16,October,Oct,10,30,Sun,Sunday,4
2016-10-31,2016,16,October,Oct,10,31,Mon,Monday,4
2016-11-01,2016,16,November,Nov,11,01,Tue,Tuesday,4
2016-11-02,2016,16,November,Nov,11,02,Wed,Wednesday,4
2016-11-03,2016,16,November,Nov,11,03,Thu,Thursday,4
2016-11-04,2016,16,November,Nov,11,04,Fri,Friday,4
2016-11-05,2016,16,November,Nov,11,05,Sat,Saturday,4
2016-11-06,2016,16,November,Nov,11,06,Sun,Sunday,4
2016-11-07,2016,16,November,Nov,11,07,Mon,Monday,4
2016-11-08,2016,16,November,Nov,11,08,Tue,Tuesday,4
2016-11-09,2016,16,November,Nov,11,09,Wed,Wednesday,4
2016-11-10,2016,16,November,Nov,11,10,Thu,Thursday,4
2016-11-11,2016,16,November,Nov,11,11,Fri,Friday,4
2016-11-12,2016,16,November,Nov,11,12,Sat,Saturday,4
2016-11-13,2016,16,November,Nov,11,13,Sun,Sunday,4
2016-11-14,2016,16,November,Nov,11,14,Mon,Monday,4
2016-11-15,2016,16,November,Nov,11,15,Tue,Tuesday,4
2016-11-16,2016,16,November,Nov,11,16,Wed,Wednesday,4
2016-11-17,2016,16,November,Nov,11,17,Thu,Thursday,4
2016-11-18,2016,16,November,Nov,11,18,Fri,Friday,4
2016-11-19,2016,16,November,Nov,11,19,Sat,Saturday,4
2016-11-20,2016,16,November,Nov,11,20,Sun,Sunday,4
2016-11-21,2016,16,November,Nov,11,21,Mon,Monday,4
2016-11-22,2016,16,November,Nov,11,22,Tue,Tuesday,4
2016-11-23,2016,16,November,Nov,11,23,Wed,Wednesday,4
2016-11-24,2016,16,November,Nov,11,24,Thu,Thursday,4
2016-11-25,2016,16,November,Nov,11,25,Fri,Friday,4
2016-11-26,2016,16,November,Nov,11,26,Sat,Saturday,4
2016-11-27,2016,16,November,Nov,11,27,Sun,Sunday,4
2016-11-28,2016,16,November,Nov,11,28,Mon,Monday,4
2016-11-29,2016,16,November,Nov,11,29,Tue,Tuesday,4
2016-11-30,2016,16,November,Nov,11,30,Wed,Wednesday,4
2016-12-01,2016,16,December,Dec,12,01,Thu,Thursday,4
2016-12-02,2016,16,December,Dec,12,02,Fri,Friday,4
2016-12-03,2016,16,December,Dec,12,03,Sat,Saturday,4
2016-12-04,2016,16,December,Dec,12,04,Sun,Sunday,4
2016-12-05,2016,16,December,Dec,12,05,Mon,Monday,4
2016-12-06,2016,16,December,Dec,12,06,Tue,Tuesday,4
2016-12-07,2016,16,December,Dec,12,07,Wed,Wednesday,4
2016-12-08,2016,16,December,Dec,12,08,Thu,Thursday,4
2016-12-09,2016,16,December,Dec,12,09,Fri,Friday,4
2016-12-10,2016,16,December,Dec,12,10,Sat,Saturday,4
2016-12-11,2016,16,December,Dec,12,11,Sun,Sunday,4
2016-12-12,2016,16,December,Dec,12,12,Mon,Monday,4
2016-12-13,2016,16,December,Dec,12,13,Tue,Tuesday,4
2016-12-14,2016,16,December,Dec,12,14,Wed,Wednesday,4
2016-12-15,2016,16,December,Dec,12,15,Thu,Thursday,4
2016-12-16,2016,16,December,Dec,12,16,Fri,Friday,4
2016-12-17,2016,16,December,Dec,12,17,Sat,Saturday,4
2016-12-18,2016,16,December,Dec,12,18,Sun,Sunday,4
2016-12-19,2016,16,December,Dec,12,19,Mon,Monday,4
2016-12-20,2016,16,December,Dec,12,20,Tue,Tuesday,4
2016-12-21,2016,16,December,Dec,12,21,Wed,Wednesday,4
2016-12-22,2016,16,December,Dec,12,22,Thu,Thursday,4
2016-12-23,2016,16,December,Dec,12,23,Fri,Friday,4
2016-12-24,2016,16,December,Dec,12,24,Sat,Saturday,4
2016-12-25,2016,16,December,Dec,12,25,Sun,Sunday,4
2016-12-26,2016,16,December,Dec,12,26,Mon,Monday,4
2016-12-27,2016,16,December,Dec,12,27,Tue,Tuesday,4
2016-12-28,2016,16,December,Dec,12,28,Wed,Wednesday,4
2016-12-29,2016,16,December,Dec,12,29,Thu,Thursday,4
2016-12-30,2016,16,December,Dec,12,30,Fri,Friday,4
